Site_ID,Natural Community,Macrogroup,Plot_ID,SP_Richness,EIA_score_NOSIZE,EIA_RANK_NOSIZE,cwCOC,cwFQI,avCOC,Percent_native plants,Plot number,OLDcwCOC,OLD_cwFQI,OLDavCOC,Size (m^2),Region
160,Silver maple floodplain forest,Large river floodplain,228,19,2.523333333,B,4.24852071,18.51887243,3.473684211,0.976331361,,4.177514793,18.20936482,2.947368421,,58
113,Hardwood river terrace forest,Large river floodplain,194,15,2.541666667,B,4.155844156,16.09551521,4.666666667,1,2,2.792207792,10.81417428,3.8,,58
130,Hardwood river terrace forest,Large river floodplain,186,20,2.565333333,B,5.489473684,24.54967264,4.75,1,1,4.863157895,21.74870328,4.2,400,58
94,Hardwood river terrace forest,Large river floodplain,143,41,2.568333333,B,4.204444444,26.92158013,4,0.991111111,"1
1",3.773333333,24.16112212,3.682926829,400,82
54,Alder floodplain,Large river floodplain,85,13,2.568828208,B,3.411347518,12.29978839,4.076923077,1,1,2.730496454,9.844944972,3.692307692,400,82
107,Silver maple floodplain forest,Large river floodplain,161,26,2.571666667,B,4.746753247,24.20378743,3.961538462,0.980519481,2,4.668831169,23.80646124,3.807692308,400,82
12,Alder floodplain,Large river floodplain,18,29,2.572061753,B,2.783653846,14.99043473,2.862068966,0.927884615,2,2.461538462,13.25579029,2.655172414,400,82
88,Hardwood river terrace forest,Large river floodplain,134,20,2.58,B,3.544871795,15.85314861,3.25,0.948717949,1,2.987179487,13.35907279,3.1,400,82
129,Silver maple floodplain forest,Large river floodplain,185,27,2.585666667,B,4.719008264,24.52068623,4.555555556,1,1,4.024793388,20.91343992,3.888888889,400,58
35,Hardwood river terrace forest,Large river floodplain,53,28,2.603333333,B,4.68115942,24.77036735,4.571428571,0.992753623,1,4.434782609,23.4666638,4.285714286,400,82
35,Hardwood river terrace forest,Large river floodplain,54,31,2.603333333,B,4.458333333,24.82294945,4.516129032,0.972222222,2,4.263888889,23.7403286,4.35483871,400,82
96,Hardwood river terrace forest,Large river floodplain,145,31,2.611333333,B,5.046391753,28.09712016,4.322580645,0.989690722,1,4.603092784,25.62893596,4,400,58
96,Hardwood river terrace forest,Large river floodplain,146,30,2.611333333,B,5.017241379,27.4805628,4.2,0.988505747,"2
2",4.436781609,24.3012537,3.766666667,,58
162,Hudsonia river beach,Large river floodplain,231,16,2.612666667,B,3.625,14.5,4.25,0.9375,,2.666666667,10.66666667,3.25,,58
31,Hardwood river terrace forest,Large river floodplain,43,39,2.653333333,B,5.0041841,31.25111969,4.461538462,0.987447699,2,4.40167364,27.48844307,3.743589744,400,58
31,Hardwood river terrace forest,Large river floodplain,44,45,2.653333333,B,5.016129032,33.6492165,4.711111111,0.97311828,3,4.612903226,30.94429556,4.177777778,400,58
34,Hardwood river terrace forest,Large river floodplain,49,24,2.653333333,B,4.859813084,23.8081246,4.083333333,0.990654206,1,4.878504673,23.89969431,3.833333333,400,82
34,Hardwood river terrace forest,Large river floodplain,51,31,2.653333333,B,5,27.83882181,4.096774194,0.996845426,3,5.246056782,29.208808,3.903225806,400,82
34,Hardwood river terrace forest,Large river floodplain,52,46,2.653333333,B,4.545138889,30.82663176,3.97826087,0.972222222,Overall,4.371527778,29.64914392,3.673913043,400,82
124,Hardwood river terrace forest,Large river floodplain,177,31,2.673333333,B,5.206030151,28.98594915,4.709677419,1,1,4.648241206,25.88031174,4.35483871,400,58
124,Hardwood river terrace forest,Large river floodplain,178,40,2.673333333,B,3.826315789,24.19974588,3.725,0.936842105,2,3.236842105,20.47158696,3.175,400,58
